序号,采集时间,采集内容,采集大小,采集时长,移动距离,行走速度,训练,重建用时,效率,重建占用,点云数量,成果大小,质量
1,251126 092501,广电7楼办公区,3.71g,7min10s,246.14m,,,,,,,,
2,251126 093437,广电7楼沙发区,4.46g,8min29s,292.74m,,,,,,,,
3,251128 142417,人像 郝老师 广电7楼沙发区,1.46g,2min50s,29.84m,,,,,,,,
4,251128 142840,人像 陈俊宇 广电7楼沙发区,1.48g,2min52s,37.82m,,,,,,,,
5,251129 161415,室内 五和公寓,4.97g,9min35s,256.82m,0.50m/s,251204 160823,02:08:50,13.78,,4033048,1.44g,5
6,251129 185530,深技大 大数据无人机实验室,20g,38min57s,1296.46m,0.60m/s,251226 152737,12:58:39,20.64,,14517492,5.47g,5
7,251129 211952,深技大 c4会堂 内部,31.7g,1h1min36s,2346.04m,0.68m/s,251214 091638,20:06:02,20.48,200g+,10671140,4.86g,3
8,251130 124750,深技大 c4会堂 地铁指引,24.9g,51min52s,2220.72m,0.76m/s,251215 174151,29.26:00,35.82,216g,40855045,15.5g,1
9,251130 155103,深技大 c4会堂 外部,36.1g,1h14min27s,3105.80m,0.75m/s,251217 093542标准重建效率,27:00:06,23.11,252g,34893151,13.7g,3
10,251130 202338,深技大 活动 合照1,0.98g,1min55s,85.29m,0.82m/s,251205 091720,00:26:38,15.09,,630879,305M,1
11,251130 203933,深技大 活动 合照2,343M,42s,272.76m,,失败,,,,,,
12,251130 204220,深技大 活动 合照3,229M,30s,467.24m,,失败,,,,,,
13,251130 205924,深技大 活动 合照4,795M,1min26s,64.82m,0.85m/s,251204 160902,00:18:06,18.06,,884629,351M,5
14,251202 084429,广电7楼办公区 玩偶工位,3.94g,7min33s,201.83m,0.49m/s,251202 090438,01:29:43,12.29,,2813669,0.98g,3
15,251202 144506,广电1楼 800演播厅,11.6g,22min36s,678.18m,0.55m/s,251202 194104,07:38:00,20.98,,4445690,1.90g,4
16,251202 151253,广电1楼走廊,14.9g,28min1s,825.28m,0.53m/s,251211 101129,13:49:02,30.25,120g+,13066418,4.60g,5
17,251203 145942,华侨城 云门画廊,10.8g,20min28s,295.64m,0.33m/s,251203 163124,06:02:00,18.05,,4397546,1.68g,4
18,251203 152242,华侨城 云门画廊Air 带外部环境,5.89g,11min13s,232.70m,0.41m/s,251204 015710,02:48:16,15.46,,5609231,1.98g,3
19,251203 154718,华侨城 街道,3.97g,7min54s,397.21m,0.89m/s,251204 080609,02:33:21,20.49,,11797202,4.05g,5
20,251205 102241,广金48楼 天空美术馆 鲲鹏奖作品展,25.0g,48min24s,851.86m,0.38m/s,251209 232437,21:47:58,20.76,约140g+,12093995,4.61g,3
21,251205 111233,广金48楼 天空美术馆 鲲鹏奖作品展 Lite,10.8g,20min55s,776.58m,0.66m/s,251205 121002,06:22:53,18.88,,7888659,2.87g,2
22,251208 104311,广电 广金 1楼广场,12.4g,25min31s,1479.00m,1m/s,251208 112601,11:35:53,28.17,,17216253,4.68g,5
23,251208 172918,广电6楼 新闻演播厅,12.7g,24min45s,731.67m,0.54m/s,251209 095315,09:07:47,22.87,,3892200,1.68g,2
24,251208 175655,广电6楼 新闻演播厅外围,2.24g,4min26s,170.86m,0.69m/s,251209 191444,01:08:28,16.5,>10g,2397761,904M,1
25,251214 160747,前海,4.99g,11min1s,458.70m,0.71m/s,251215 093931,05:14:35,29.26,44.6g,5085473,1.92g,4
26,251216 101306,深圳市国家气候观象台罗湖 气象美学,10.5g,20min2s,414.67m,0.41m/s,251223 131825,04:51:09,14.83,69.6g,5707206,2.09g,3
27,251216 103833,深圳市国家气候观象台罗湖 活动室,6.37g,12min11s,246.04m,0.41m/s,251223 091836,03:10:43,16.03,45.2g,4705073,1.68g,5
28,251216 105844,深圳市国家气候观象台罗湖 气象美学lite,4.24g,8min1s,271.02m,0.59m/s,251219 135935,02:05:51,16.14,,3383150,1.15g,4
29,251217 103315,广电6楼 新闻演播厅2lite,1.95g,3min50s,80.17m,0.34m/s,251218 212422,00:46:03,12.74,,1590894,576m,3
30,251217 103748,广电6楼 新闻演播厅2,13.5g,26min9s,752.12m,0.53m/s,251218 223129关闭跨平台优化,10:30:38,24.94,,3703902,3.43g,4
31,251217 161144,广电7楼 11 虚拟演播厅,3.17g,6min11s,136.71m,0.41m/s,251219 091937,01:12:35,12.24,,1421511,526m,3
32,251219 113850,广电3楼演播厅 half,3.79g,7min23s,122.14m,0.37m/s,221222 221052,01:54:32,16.17,,2217234,842m,4
33,251219 114922,广电3楼演播厅,16.2g,31min10s,953.30m,0.55m/s,251219 183826关闭跨平台优化,09:56:51,19.76,139g,4381162,4.12g,5
34,251219 122447,广电3楼演播厅 lite,9.00g,17min13s,728.26m,0.73m/s,251222 153536关闭跨平台优化,06:26:07,23.21,45g/81.7g,3200958,2.86g,4
35,251220 151607,深技大 创设展SE,388m,47s,18.18m,0.48m/s,251227 121558,00:08:25,13.62,2.23g,474262,131m,3
36,251220 151725,深技大 创设展,30.6g,58min23s,1415.38m,0.67m/s,251223 192019,25:46:26,40.11,213g,14304222,5.59g,4
37,251220 161840,深技大 创设展lite,5.27g,10min9s,479.59m,0.83m/s,251227 072252,02:25:34,14.88,,5125459,1.96g,3
38,251220 221155,深技大 梦工厂,6.12g,11min54s,386.35m,0.59m/s,260103 081623,03:00:31,15.74,,6247640,2.19g,5
39,251220 222800,深技大 梦工厂 印奇,5.21g,10min12s,101.21m,0.28m/s,260103 184850,02:26:03,14.61,34.2g,3669586,1.23g,5
40,251221 140054,深技大 行政楼 309,20.2g,40min5s,2012.30m,0.88m/s,251227 131608,15:58:13,24.94,162g,19955953,7.58g,5
41,251224 103804,福田翠叶道咖啡街,6.03g,11min48s,634.33m,0.94m/s,251225 095814,04:25:32,23.54,62g,12813156,4.69g,4
42,251224 105835,_新洲河碧道,3.92g,7min52s,643.38m,1.42m/s,251229 173028,02:17:48,18.42,,13577204,4.93g,3
43,251225 154900,深技大 创设 202展,10.1g,19min22s,520.12m,0.51m/s,251229 200020,05:15:19,16.7,,4287784,1.71g,3
44,251225 170846,深技大 赛车工作室,20.9g,40min58s,1288.59m,0.57m/s,251229 010209,15:28:47,23.52,181g,17358261,6.39g,5
45,251225 192631,深技大 创设 201,22.8g,44min13s,1019.59m,0.45m/s,251228 080836,14:36:10,20.37,173g,8949836,3.56g,4
46,251226 112757,光峰科技总部 4楼展馆,1.31g,2min33s,19.22m,0.18m/s,251230 094424,00:15:22,6.45,,636159,438M,2
47,251228 165543,深技大 新年晚会 迎春市集,12.4g,25min,900.42,0.65m/s,251230 103906,08:40:31,21.52,95.6g,13805768,12.1g,3
48,251228 172730,深技大 新年晚会 会堂后台,1.75g,3min20s,177.93m,0.96m/s,251230 204424,00:39:07,12.56,,1437246,,3
49,251228 211445,深技大 新年晚会 活动合照,806m,1min34s,50.66m,0.62m/s,251231 091105,00:19:46,13.97,5.40g,953657,,2
50,260102 152606,漫展AD05 黑色战国袍李斯 秦时明月,681m,1min15s,32.19m,0.50m/s,260105 150130,00:23:37,21.18,,1223972,0.97g,3
51,260102 152839,漫展AD05 汉服,720m,1min26s,27.88m,0.39m/s,260105 152556,00:17:37,13.74,,1178184,969m,2
52,260102 155010,漫展AD05 03,748m,1min31s,33.25m,,,,,,,,
53,260102 155357,漫展AD05 路人女主 加藤惠 Fall,88.5m,15s,0.00m,,,,,,,,
54,260102 155502,漫展AD05 路人女主 加藤惠2 Fall,814m,1min38s,37.71m,,,,,5.82g,,,
55,260102 160304,漫展AD05 魔道祖师 江厌离,965m,1min48s,40.87m,0.44m/s,260105 073218,00:27:07,16.62,,2523382,2.07g,4
56,260102 161229,漫展AD05 薇尔莉特 过曝,685m,1min16s,26.14m,,,,,,,,
